Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
53250,Air_India,AI-442,Mumbai,Afternoon,one,Afternoon,Bangalore,Economy,20.67,4,9201
53251,Air_India,AI-867,Mumbai,Night,one,Night,Bangalore,Economy,22.58,4,9201
53252,Air_India,AI-888,Mumbai,Evening,one,Night,Bangalore,Economy,25.08,4,9201
53253,Air_India,AI-635,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,25.83,4,9201
53254,Air_India,AI-660,Mumbai,Evening,one,Night,Bangalore,Economy,26.08,4,9201
53255,Air_India,AI-867,Mumbai,Night,one,Late_Night,Bangalore,Economy,26.67,4,9201
53256,Air_India,AI-687,Mumbai,Afternoon,one,Night,Bangalore,Economy,28.08,4,9201
53257,Air_India,AI-442,Mumbai,Afternoon,one,Night,Bangalore,Economy,28.5,4,9201
53258,Indigo,6E-5307,Mumbai,Morning,one,Evening,Bangalore,Economy,7.08,4,9214
53259,Indigo,6E-5312,Mumbai,Morning,one,Evening,Bangalore,Economy,7.75,4,9214
53260,Indigo,6E-5312,Mumbai,Morning,one,Evening,Bangalore,Economy,8.0,4,9214
53261,Indigo,6E-5312,Mumbai,Morning,one,Evening,Bangalore,Economy,8.83,4,9214
53262,Indigo,6E-5312,Mumbai,Morning,one,Night,Bangalore,Economy,10.0,4,9214
53263,Air_India,AI-663,Mumbai,Afternoon,one,Night,Bangalore,Economy,7.58,4,9566
53264,Vistara,UK-958,Mumbai,Afternoon,one,Evening,Bangalore,Economy,6.42,4,11129
53265,Vistara,UK-994,Mumbai,Morning,one,Evening,Bangalore,Economy,6.58,4,11129
53266,Vistara,UK-960,Mumbai,Morning,one,Evening,Bangalore,Economy,6.92,4,11129
53267,Vistara,UK-958,Mumbai,Afternoon,one,Night,Bangalore,Economy,8.0,4,11129
53268,Vistara,UK-944,Mumbai,Afternoon,one,Night,Bangalore,Economy,8.0,4,11129
53269,Vistara,UK-994,Mumbai,Morning,one,Evening,Bangalore,Economy,8.42,4,11129
53270,Vistara,UK-960,Mumbai,Morning,one,Night,Bangalore,Economy,8.5,4,11129
53271,Vistara,UK-994,Mumbai,Morning,one,Night,Bangalore,Economy,10.0,4,11129
53272,Vistara,UK-958,Mumbai,Afternoon,one,Night,Bangalore,Economy,10.25,4,11129
53273,Vistara,UK-960,Mumbai,Morning,one,Night,Bangalore,Economy,10.75,4,11129
53274,Vistara,UK-988,Mumbai,Night,one,Morning,Bangalore,Economy,11.75,4,11129
53275,Vistara,UK-994,Mumbai,Morning,one,Night,Bangalore,Economy,12.25,4,11129
53276,Vistara,UK-940,Mumbai,Evening,one,Morning,Bangalore,Economy,12.92,4,11129
53277,Vistara,UK-988,Mumbai,Night,one,Morning,Bangalore,Economy,13.92,4,11129
53278,Vistara,UK-996,Mumbai,Evening,one,Morning,Bangalore,Economy,14.17,4,11129
53279,Vistara,UK-988,Mumbai,Night,one,Morning,Bangalore,Economy,14.92,4,11129
