Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
176940,Air_India,AI-559,Hyderabad,Early_Morning,two_or_more,Early_Morning,Chennai,Economy,24.83,9,13801
176941,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Chennai,Economy,6.83,9,14264
176942,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Chennai,Economy,9.33,9,14264
176943,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Chennai,Economy,9.5,9,14264
176944,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Chennai,Economy,13.42,9,14264
176945,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Chennai,Economy,15.92,9,14264
176946,Vistara,UK-870,Hyderabad,Night,one,Evening,Chennai,Economy,19.75,9,14264
176947,Air_India,AI-559,Hyderabad,Early_Morning,two_or_more,Night,Chennai,Economy,17.08,9,14428
176948,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Chennai,Economy,9.83,9,15204
176949,Vistara,UK-874,Hyderabad,Morning,one,Night,Chennai,Economy,14.25,9,15204
176950,Vistara,UK-890,Hyderabad,Evening,one,Morning,Chennai,Economy,16.25,9,15268
176951,Vistara,UK-870,Hyderabad,Night,one,Night,Chennai,Economy,23.67,9,15898
176952,Vistara,UK-874,Hyderabad,Morning,one,Night,Chennai,Economy,11.75,9,15918
176953,Vistara,UK-890,Hyderabad,Evening,one,Evening,Chennai,Economy,22.67,9,17158
176954,Vistara,UK-659,Hyderabad,Morning,two_or_more,Night,Chennai,Economy,9.25,9,17283
176955,Vistara,UK-659,Hyderabad,Morning,two_or_more,Night,Chennai,Economy,11.75,9,17283
176956,Vistara,UK-830,Hyderabad,Morning,one,Evening,Chennai,Economy,9.58,9,17304
176957,Vistara,UK-898,Hyderabad,Early_Morning,two_or_more,Evening,Chennai,Economy,8.67,9,17881
176958,Vistara,UK-890,Hyderabad,Evening,one,Night,Chennai,Economy,26.58,9,17893
176959,Air_India,AI-698,Hyderabad,Night,one,Early_Morning,Chennai,Economy,9.08,9,17683
176960,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Chennai,Economy,9.67,9,18312
176961,Air_India,AI-559,Hyderabad,Early_Morning,two_or_more,Night,Chennai,Economy,14.83,9,20623
176962,Air_India,AI-559,Hyderabad,Early_Morning,two_or_more,Evening,Chennai,Economy,12.5,9,21883
176963,Air_India,AI-698,Hyderabad,Night,one,Morning,Chennai,Economy,12.67,9,21988
176964,SpiceJet,SG-732,Hyderabad,Afternoon,zero,Afternoon,Chennai,Economy,1.25,10,4453
176965,Indigo,6E-531,Hyderabad,Early_Morning,zero,Early_Morning,Chennai,Economy,1.17,10,4453
176966,Indigo,6E-157,Hyderabad,Early_Morning,zero,Early_Morning,Chennai,Economy,1.25,10,4453
176967,Indigo,6E-6007,Hyderabad,Night,zero,Late_Night,Chennai,Economy,1.25,10,4453
176968,AirAsia,I5-510,Hyderabad,Early_Morning,zero,Morning,Chennai,Economy,1.25,10,4454
176969,AirAsia,I5-974,Hyderabad,Night,one,Morning,Chennai,Economy,10.33,10,4451
