Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
205980,Vistara,UK-826,Chennai,Afternoon,two_or_more,Night,Hyderabad,Economy,8.42,41,6015
205981,Vistara,UK-822,Chennai,Morning,two_or_more,Night,Hyderabad,Economy,11.17,41,6015
205982,Vistara,UK-828,Chennai,Early_Morning,two_or_more,Night,Hyderabad,Economy,13.92,41,6015
205983,Vistara,UK-826,Chennai,Afternoon,two_or_more,Morning,Hyderabad,Economy,20.58,41,6015
205984,Vistara,UK-822,Chennai,Morning,two_or_more,Morning,Hyderabad,Economy,23.33,41,6015
205985,Vistara,UK-824,Chennai,Night,two_or_more,Night,Hyderabad,Economy,24.42,41,6015
205986,Vistara,UK-828,Chennai,Early_Morning,two_or_more,Morning,Hyderabad,Economy,26.08,41,6015
205987,Vistara,UK-828,Chennai,Early_Morning,two_or_more,Afternoon,Hyderabad,Economy,5.25,41,6032
205988,Vistara,UK-826,Chennai,Afternoon,two_or_more,Night,Hyderabad,Economy,8.42,41,6032
205989,Vistara,UK-822,Chennai,Morning,two_or_more,Night,Hyderabad,Economy,11.17,41,6032
205990,Vistara,UK-824,Chennai,Night,two_or_more,Early_Morning,Hyderabad,Economy,11.33,41,6032
205991,Vistara,UK-828,Chennai,Early_Morning,two_or_more,Night,Hyderabad,Economy,13.92,41,6032
205992,Vistara,UK-824,Chennai,Night,two_or_more,Afternoon,Hyderabad,Economy,15.75,41,6032
205993,Vistara,UK-826,Chennai,Afternoon,two_or_more,Early_Morning,Hyderabad,Economy,19.33,41,6032
205994,Vistara,UK-822,Chennai,Morning,two_or_more,Early_Morning,Hyderabad,Economy,22.08,41,6032
205995,Vistara,UK-826,Chennai,Afternoon,two_or_more,Afternoon,Hyderabad,Economy,23.75,41,6032
205996,Vistara,UK-824,Chennai,Night,two_or_more,Night,Hyderabad,Economy,24.42,41,6032
205997,Vistara,UK-828,Chennai,Early_Morning,two_or_more,Early_Morning,Hyderabad,Economy,24.83,41,6032
205998,Vistara,UK-822,Chennai,Morning,two_or_more,Afternoon,Hyderabad,Economy,26.5,41,6032
205999,Vistara,UK-828,Chennai,Early_Morning,two_or_more,Evening,Hyderabad,Economy,10.0,41,6966
206000,Vistara,UK-822,Chennai,Morning,two_or_more,Evening,Hyderabad,Economy,10.17,41,6966
206001,Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,Economy,10.17,41,7697
206002,Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,Economy,10.17,41,7709
206003,AirAsia,I5-517,Chennai,Morning,zero,Morning,Hyderabad,Economy,1.17,42,1105
206004,GO_FIRST,G8-505,Chennai,Evening,zero,Evening,Hyderabad,Economy,1.25,42,1105
206005,SpiceJet,SG-731,Chennai,Early_Morning,zero,Early_Morning,Hyderabad,Economy,1.25,42,1106
206006,Indigo,6E-7185,Chennai,Morning,one,Afternoon,Hyderabad,Economy,4.17,42,1105
206007,Indigo,6E-7149,Chennai,Evening,one,Night,Hyderabad,Economy,4.17,42,1105
206008,Indigo,6E-605,Chennai,Afternoon,one,Evening,Hyderabad,Economy,4.75,42,1105
206009,Indigo,6E-804,Chennai,Evening,one,Night,Hyderabad,Economy,5.0,42,1105
