Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
201240,GO_FIRST,G8-451,Chennai,Night,one,Early_Morning,Kolkata,Economy,8.42,36,7312
201241,Indigo,6E-561,Chennai,Night,one,Late_Night,Kolkata,Economy,5.17,36,7363
201242,Indigo,6E-502,Chennai,Morning,one,Evening,Kolkata,Economy,8.42,36,7363
201243,Indigo,6E-6111,Chennai,Morning,one,Afternoon,Kolkata,Economy,5.92,36,7641
201244,Indigo,6E-126,Chennai,Evening,one,Night,Kolkata,Economy,5.92,36,7641
201245,Indigo,6E-5367,Chennai,Evening,one,Late_Night,Kolkata,Economy,8.25,36,7641
201246,Indigo,6E-5394,Chennai,Early_Morning,one,Afternoon,Kolkata,Economy,8.5,36,7641
201247,Vistara,UK-822,Chennai,Morning,one,Evening,Kolkata,Economy,8.33,36,8816
201248,Vistara,UK-822,Chennai,Morning,one,Evening,Kolkata,Economy,9.83,36,8816
201249,Vistara,UK-826,Chennai,Afternoon,one,Night,Kolkata,Economy,10.25,36,8816
201250,Vistara,UK-826,Chennai,Afternoon,one,Night,Kolkata,Economy,10.25,36,9216
201251,GO_FIRST,G8-305,Chennai,Morning,one,Afternoon,Kolkata,Economy,5.42,36,9792
201252,Vistara,UK-826,Chennai,Afternoon,one,Evening,Kolkata,Economy,31.08,36,15542
201253,Vistara,UK-822,Chennai,Morning,one,Evening,Kolkata,Economy,33.83,36,15542
201254,Vistara,UK-824,Chennai,Night,one,Evening,Kolkata,Economy,23.08,36,16642
201255,Vistara,UK-826,Chennai,Afternoon,one,Evening,Kolkata,Economy,31.08,36,16642
201256,Indigo,6E-6016,Chennai,Evening,zero,Night,Kolkata,Economy,2.17,37,2359
201257,Indigo,6E-183,Chennai,Afternoon,zero,Evening,Kolkata,Economy,2.33,37,2359
201258,Indigo,6E-321,Chennai,Early_Morning,zero,Morning,Kolkata,Economy,2.42,37,2359
201259,AirAsia,I5-557,Chennai,Night,zero,Late_Night,Kolkata,Economy,2.42,37,2359
201260,AirAsia,I5-1229,Chennai,Evening,one,Night,Kolkata,Economy,5.0,37,2361
201261,AirAsia,I5-1229,Chennai,Evening,one,Late_Night,Kolkata,Economy,9.5,37,2361
201262,AirAsia,I5-821,Chennai,Night,one,Morning,Kolkata,Economy,10.42,37,2361
201263,AirAsia,I5-1531,Chennai,Night,one,Morning,Kolkata,Economy,11.0,37,2361
201264,Indigo,6E-606,Chennai,Evening,zero,Night,Kolkata,Economy,2.33,37,2464
201265,Indigo,6E-6326,Chennai,Afternoon,zero,Afternoon,Kolkata,Economy,2.42,37,2464
201266,AirAsia,I5-319,Chennai,Morning,zero,Afternoon,Kolkata,Economy,2.33,37,2672
201267,SpiceJet,SG-388,Chennai,Evening,zero,Night,Kolkata,Economy,2.42,37,2673
201268,Air_India,AI-766,Chennai,Morning,zero,Afternoon,Kolkata,Economy,2.58,37,2675
201269,Air_India,AI-9894,Chennai,Morning,one,Morning,Kolkata,Economy,23.58,37,3038
